Happiness	id	name
3.575	4	Afghanistan
4.959	8	Albania
5.605	12	Algeria
4.033	24	Angola
UNKNOWN	10	Antarctica
6.574	32	Argentina
4.35	51	Armenia
7.284	36	Australia
7.2	40	Austria
5.212	31	Azerbaijan
5.96	44	Bahamas
4.694	50	Bangladesh
5.813	112	Belarus
6.937	56	Belgium
UNKNOWN	84	Belize
3.34	204	Benin
5.253	64	Bhutan
5.89	68	Bolivia
4.949	70	Bosnia and Herzegovina
4.332	72	Botswana
6.983	76	Brazil
UNKNOWN	96	Brunei Darussalam
4.218	100	Bulgaria
3.587	854	Burkina Faso
2.905	108	Burundi
3.819	116	Cambodia
4.252	120	Cameroon
7.427	124	Canada
3.678	140	Central African Republic
3.667	148	Chad
6.67	152	Chile
5.14	156	China
6.477	170	Colombia
3.956	3.956	
3.989	178	Congo
4.517	180	The Democratic Republic of the Congo
7.226	188	Costa Rica
UNKNOWN	384	Cote d'Ivoire
5.759	191	Croatia
UNKNOWN	192	Cuba
5.689	196	Cyprus
6.505	203	Czech Republic
7.527	208	Denmark
4.369	262	Djibouti
4.885	214	Dominican Republic
5.975	218	Ecuador
4.194	818	Egypt
6.13	222	El Salvador
UNKNOWN	226	Equatorial Guinea
UNKNOWN	232	Eritrea
5.429	233	Estonia
4.512	231	Ethiopia
UNKNOWN	238	Falkland Islands (Malvinas)
UNKNOWN	242	Fiji
7.406	246	Finland
6.575	250	France
UNKNOWN	260	French Southern Territories
3.896	266	Gabon
UNKNOWN	270	Gambia
4.297	268	Georgia
6.75	276	Germany
4.633	288	Ghana
4.857	300	Greece
UNKNOWN	304	Greenland
6.123	320	Guatemala
3.656	324	Guinea
3.665	624	Guinea-Bissau
UNKNOWN	328	Guyana
4.518	332	Haiti
4.788	340	Honduras
4.8	348	Hungary
7.561	352	Iceland
4.565	356	India
5.399	360	Indonesia
4.686	364	Iran
4.677	368	Iraq
6.94	372	Ireland
7.278	376	Israel
5.948	380	Italy
5.709	388	Jamaica
5.987	392	Japan
5.192	400	Jordan
5.855	398	Kazakhstan
4.419	404	Kenya
UNKNOWN	408	North Korea
5.984	410	South Korea
6.295	414	Kuwait
5.286	417	Kyrgyzstan
4.876	418	Lao People's Democratic Republic
5.098	428	Latvia
4.839	422	Lebanon
4.898	426	Lesotho
4.571	430	Liberia
5.754	434	Libya
5.833	440	Lithuania
6.946	442	Luxembourg
5.007	807	Macedonia
3.681	450	Madagascar
4.292	454	Malawi
5.77	458	Malaysia
3.995	466	Mali
4.436	478	Mauritania
7.187	484	Mexico
5.889	498	Moldova
4.874	496	Mongolia
5.192	499	Montenegro
5.013	504	Morocco
4.971	508	Mozambique
4.307	104	Myanmar
UNKNOWN	516	Namibia
4.514	524	Nepal
7.378	528	Netherlands
UNKNOWN	540	New Caledonia
7.286	554	New Zealand
5.828	558	Nicaragua
3.845	562	Niger
5.268	566	Nigeria
7.522	578	Norway
6.853	512	Oman
5.194	586	Pakistan
4.715	275	Palestinian Territory
6.786	591	Panama
UNKNOWN	598	Papua New Guinea
5.878	600	Paraguay
5.824	604	Peru
5.073	608	Philippines
5.791	616	Poland
5.102	620	Portugal
UNKNOWN	630	Puerto Rico
6.611	634	Qatar
5.124	642	Romania
5.716	643	Russian Federation
3.465	646	Rwanda
6.411	682	Saudi Arabia
3.904	686	Senegal
5.123	688	Serbia
4.507	694	Sierra Leone
5.995	703	Slovakia
5.848	705	Slovenia
UNKNOWN	90	Solomon Islands
5.057	706	Somalia
4.642	710	South Africa
UNKNOWN	728	South Sudan
6.329	724	Spain
4.271	144	Sri Lanka
4.55	729	Sudan
6.269	740	Suriname
4.867	748	Swaziland
7.364	752	Sweden
7.587	756	Switzerland
3.006	760	Syria
6.298	158	Taiwan
4.786	762	Tajikistan
3.781	834	Tanzania
6.455	764	Thailand
UNKNOWN	626	Timor-Leste
2.839	768	Togo
6.168	780	Trinidad and Tobago
4.739	788	Tunisia
5.332	792	Turkey
5.548	795	Turkmenistan
3.931	800	Uganda
4.681	804	Ukraine
6.901	784	United Arab Emirates
6.867	826	United Kingdom
7.119	840	United States
6.485	858	Uruguay
6.003	860	Uzbekistan
UNKNOWN	548	Vanuatu
6.81	862	"Venezuela, Bolivarian Republic of"
5.36	704	Vietnam
UNKNOWN	732	Western Sahara
4.077	887	Yemen
5.129	894	Zambia
4.61	716	Zimbabwe
